rsi,symbol,win_ratio,priority,Symbol,token
60,NLCINDIA,54.39%,1,NLCINDIA,8585
69,SWANENERGY,53.66%,1,SWANENERGY,27098
52,PAGEIND,53.85%,1,PAGEIND,14413
35,MAZDOCK,82.35%,1,MAZDOCK,521
63,MAPMYINDIA,38.24%,1,MAPMYINDIA,7238
49,ABBOTINDIA,55.56%,1,ABBOTINDIA,17903
49,TECHM,49.33%,1,TECHM,13538
54,LODHA,55.74%,1,LODHA,3220
55,MOTILALOFS,46.38%,1,MOTILALOFS,14947
56,BRIGADE,53.25%,1,BRIGADE,15184
49,CDSL,58.62%,1,CDSL,21174
46,DLF,47.95%,1,DLF,14732
48,MGL,60.56%,1,MGL,17534
49,BPCL,52.00%,1,BPCL,526
48,BDL,60.32%,1,BDL,2144
50,TCS,55.13%,1,TCS,11536
48,PNCINFRA,57.97%,1,PNCINFRA,9385
50,AFFLE,47.44%,1,AFFLE,11345
47,ASHOKLEY,48.05%,1,ASHOKLEY,12218
52,CRISIL,39.33%,1,CRISIL,757
59,TITAN,51.67%,1,TITAN,3506
60,AUROPHARMA,39.68%,1,AUROPHARMA,275
53,BLS,52.31%,1,BLS,17279
67,LLOYDSME,58.82%,1,LLOYDSME,17317
43,MOTHERSON,54.24%,1,MOTHERSON,12605
49,MCX,41.67%,1,MCX,31181
53,JSWENERGY,52.50%,1,JSWENERGY,17869
40,DMART,63.27%,1,DMART,19913
51,GRINDWELL,56.16%,1,GRINDWELL,13563
48,KPRMILL,58.82%,1,KPRMILL,14912
32,MUTHOOTFIN,73.68%,1,MUTHOOTFIN,23650
68,PPLPHARMA,66.67%,1,PPLPHARMA,11571
50,CHOLAFIN,50.62%,1,CHOLAFIN,685
50,MAHABANK,46.27%,1,MAHABANK,11377
50,INDUSINDBK,50.75%,1,INDUSINDBK,5258
45,GPPL,65.57%,1,GPPL,19734
41,PIIND,58.00%,1,PIIND,24187
59,ANGELONE,55.77%,1,ANGELONE,328
59,PAYTM,54.17%,1,PAYTM,6705
63,CGCL,49.02%,1,CGCL,20329
60,SKFINDIA,50.94%,1,SKFINDIA,3186
57,RBLBANK,42.86%,1,RBLBANK,18394
69,TANLA,62.96%,1,TANLA,13978
47,DEEPAKFERT,50.00%,1,DEEPAKFERT,827
63,PRAJIND,44.64%,1,PRAJIND,2705
39,APOLLOTYRE,63.64%,1,APOLLOTYRE,163
40,MARICO,57.14%,1,MARICO,4067
65,POONAWALLA,59.26%,1,POONAWALLA,11403
46,GESHIP,53.97%,1,GESHIP,13776
51,AMBER,45.00%,1,AMBER,1192
49,PRSMJOHNSN,54.65%,1,PRSMJOHNSN,2739
56,BAJFINANCE,50.77%,1,BAJFINANCE,317
45,TATACHEM,54.29%,1,TATACHEM,3405
70,KALYANKJIL,79.17%,1,KALYANKJIL,2965
50,HDFCBANK,58.02%,1,HDFCBANK,1333
48,MHRIL,51.25%,1,MHRIL,17336
36,NESTLEIND,61.11%,1,NESTLEIND,17963
51,SYNGENE,50.00%,1,SYNGENE,10245
56,CESC,53.23%,1,CESC,628
61,JINDALSAW,47.46%,1,JINDALSAW,3024
55,MINDACORP,52.13%,1,MINDACORP,25897
63,JBCHEPHARM,47.46%,1,JBCHEPHARM,1726
63,DIVISLAB,46.30%,1,DIVISLAB,10940
49,CHOLAHLDNG,50.00%,1,CHOLAHLDNG,21744
54,CSBBANK,56.52%,1,CSBBANK,14966
48,RCF,48.05%,1,RCF,2866
42,AIAENG,59.21%,1,AIAENG,13086
41,IRB,58.62%,1,IRB,15316
40,GLAND,46.51%,1,GLAND,1186
57,SJVN,50.00%,1,SJVN,18883
59,HINDCOPPER,50.00%,1,HINDCOPPER,17939
45,LAURUSLABS,45.76%,1,LAURUSLABS,19234
61,IRCON,49.15%,1,IRCON,5006
60,COCHINSHIP,44.07%,1,COCHINSHIP,21508
41,HEG,58.00%,1,HEG,1336
52,CIEINDIA,53.42%,1,CIEINDIA,14937
52,GLAXO,57.75%,1,GLAXO,1153
59,CHAMBLFERT,51.52%,1,CHAMBLFERT,637
40,EIHOTEL,56.10%,1,EIHOTEL,919
66,JIOFIN,62.50%,1,JIOFIN,18144
49,JSWINFRA,52.94%,1,JSWINFRA,19020
54,MAHLIFE,58.18%,1,MAHLIFE,8050
67,CENTRALBK,66.67%,1,CENTRALBK,14894
46,ZENSARTECH,53.12%,1,ZENSARTECH,1076
37,ADANIENT,58.62%,1,ADANIENT,25
61,CHENNPETRO,61.02%,1,CHENNPETRO,12296
58,SHYAMMETL,38.46%,1,SHYAMMETL,4709
55,ELGIEQUIP,43.02%,1,ELGIEQUIP,937
50,QUESS,55.71%,1,QUESS,17707
48,BAYERCROP,49.23%,1,BAYERCROP,17930
64,ADANIENSOL,53.33%,1,ADANIENSOL,10217
28,ENGINERSIN,100.00%,1,ENGINERSIN,4907
55,AVANTIFEED,52.94%,1,AVANTIFEED,7936
48,CRAFTSMAN,58.82%,1,CRAFTSMAN,2854
51,CENTURYPLY,51.61%,1,CENTURYPLY,13305
43,FEDERALBNK,61.02%,1,FEDERALBNK,1023
53,HINDUNILVR,56.16%,1,HINDUNILVR,1394
69,DELHIVERY,54.55%,1,DELHIVERY,9608
47,USHAMART,52.17%,1,USHAMART,8840
57,POLICYBZR,53.70%,1,POLICYBZR,6656
58,SANOFI,41.67%,1,SANOFI,1442
52,JBMA,51.47%,1,JBMA,11655
52,PCBL,52.50%,1,PCBL,2649
53,VIJAYA,56.25%,1,VIJAYA,5585
43,HINDZINC,55.38%,1,HINDZINC,13704
54,NBCC,48.65%,0,NBCC,31415
62,MPHASIS,35.09%,0,MPHASIS,4503
51,BHARATFORG,33.33%,0,BHARATFORG,422
41,UTIAMC,55.81%,0,UTIAMC,554
43,SWSOLAR,45.21%,0,SWSOLAR,12575
51,KPITTECH,49.25%,0,KPITTECH,9684
50,PHOENIXLTD,38.54%,0,PHOENIXLTD,14552
46,TRITURBINE,53.85%,0,TRITURBINE,25584
61,SCHNEIDER,38.46%,0,SCHNEIDER,31237
46,JINDALSTEL,57.14%,0,JINDALSTEL,6733
52,EMAMILTD,52.78%,0,EMAMILTD,13517
71,LICHSGFIN,66.67%,0,LICHSGFIN,1997
48,PATANJALI,38.36%,0,PATANJALI,17029
45,RITES,55.88%,0,RITES,3764
54,DCMSHRIRAM,51.95%,0,DCMSHRIRAM,811
48,JUBLFOOD,49.23%,0,JUBLFOOD,18096
54,TRIDENT,44.16%,0,TRIDENT,12182
40,ASAHIINDIA,60.87%,0,ASAHIINDIA,12215
67,SYRMA,50.00%,0,SYRMA,10793
58,UCOBANK,52.08%,0,UCOBANK,11223
56,ELECON,57.14%,0,ELECON,13643
