Symbol,NAME OF COMPANY,token
METROPOLIS,Metropolis Healthcare Limited,9587.0
MINDACORP,Minda Corporation Limited,25897.0
MSUMI,Motherson Sumi Wiring India Limited,8597.0
MOTILALOFS,Motilal Oswal Financial Services Limited,14947.0
MPHASIS,MphasiS Limited,4503.0
MCX,Multi Commodity Exchange of India Limited,31181.0
MUTHOOTFIN,Muthoot Finance Limited,23650.0
NATCOPHARM,Natco Pharma Limited,3918.0
NBCC,NBCC (India) Limited,31415.0
NCC,NCC Limited,2319.0
NHPC,NHPC Limited,17400.0
NLCINDIA,NLC India Limited,8585.0
NMDC,NMDC Limited,15335.0
NSLNISP,NMDC Steel Limited,14180.0
NTPC,NTPC Limited,11630.0
NH,Narayana Hrudayalaya Ltd.,11840.0
NATIONALUM,National Aluminium Company Limited,12623.0
NAVINFLUOR,Navin Fluorine International Limited,14675.0
NESTLEIND,Nestle India Limited,17963.0
NETWORK18,Network18 Media & Investments Limited,14115.0
NAM-INDIA,Nippon Life India Asset Management Limited,357.0
NUVAMA,Nuvama Wealth Management Limited,18722.0
NUVOCO,Nuvoco Vistas Corporation Limited,5430.0
OBEROIRLTY,Oberoi Realty Limited,20245.0
ONGC,Oil & Natural Gas Corporation Limited,2475.0
OIL,Oil India Limited,17441.0
OLECTRA,Olectra Greentech Limited,10637.0
PAYTM,One 97 Communications Limited,6705.0
OFSS,Oracle Financial Services Software Limited,10738.0
POLICYBZR,PB Fintech Limited,6656.0
PCBL,PCBL LIMITED,2649.0
PIIND,PI Industries Limited,24187.0
PNBHOUSING,PNB Housing Finance Limited,18908.0
PNCINFRA,PNC Infratech Limited,9385.0
PVRINOX,PVR INOX Limited,13149.0
PAGEIND,Page Industries Limited,14413.0
PATANJALI,Patanjali Foods Limited,17029.0
PERSISTENT,Persistent Systems Limited,18368.0
PETRONET,Petronet LNG Limited,11351.0
PHOENIXLTD,The Phoenix Mills Limited,14552.0
PIDILITIND,Pidilite Industries Limited,12674.0
PEL,Piramal Enterprises Limited,2412.0
PPLPHARMA,Piramal Pharma Limited,11571.0
POLYMED,Poly Medicure Limited,25721.0
POLYCAB,Polycab India Limited,9594.0
POONAWALLA,Poonawalla Fincorp Limited,11403.0
PFC,Power Finance Corporation Limited,14299.0
POWERGRID,Power Grid Corporation of India Limited,14977.0
PRAJIND,Praj Industries Limited,2705.0
PRESTIGE,Prestige Estates Projects Limited,20302.0
PRINCEPIPE,Prince Pipes And Fittings Limited,16088.0
PRSMJOHNSN,Prism Johnson Limited,2739.0
PGHH,Procter & Gamble Hygiene and Health Care Limited,2535.0
PNB,Punjab National Bank,10666.0
QUESS,Quess Corp Limited,17707.0
RRKABEL,R R Kabel Limited,18578.0
RBLBANK,RBL Bank Limited,18394.0
RECLTD,REC Limited,15353.0
RHIM,RHI MAGNESITA INDIA LIMITED,31166.0
RITES,RITES Limited,3764.0
RADICO,Radico Khaitan Limited,10990.0
RVNL,Rail Vikas Nigam Limited,9562.0
RAILTEL,Railtel Corporation Of India Limited,2443.0
RAINBOW,Rainbow Childrens Medicare Limited,9408.0
RAJESHEXPO,Rajesh Exports Limited,7401.0
RKFORGE,Ramkrishna Forgings Limited,11411.0
RCF,Rashtriya Chemicals and Fertilizers Limited,2866.0
RATNAMANI,Ratnamani Metals & Tubes Limited,13451.0
RTNINDIA,RattanIndia Enterprises Limited,27300.0
RAYMOND,Raymond Limited,12708.0
REDINGTON,Redington Limited,14257.0
RELIANCE,Reliance Industries Limited,2885.0
RBA,Restaurant Brands Asia Limited,1499.0
ROUTE,ROUTE MOBILE LIMITED,138.0
SBFC,SBFC Finance Limited,18030.0
SBICARD,SBI Cards and Payment Services Limited,17971.0
SBILIFE,SBI Life Insurance Company Limited,21808.0
SJVN,SJVN Limited,18883.0
SKFINDIA,SKF India Limited,3186.0
SRF,SRF Limited,3273.0
SAFARI,Safari Industries (India) Limited,13037.0
SAMMAANCAP,Sammaan Capital Limited,30125.0
MOTHERSON,Samvardhana Motherson International Limited,12605.0
SANOFI,Sanofi India Limited,1442.0
SAPPHIRE,Sapphire Foods India Limited,6725.0
SAREGAMA,Saregama India Limited,4892.0
SCHAEFFLER,Schaeffler India Limited,1011.0
SCHNEIDER,Schneider Electric Infrastructure Limited,31237.0
SHREECEM,SHREE CEMENT LIMITED,3103.0
RENUKA,Shree Renuka Sugars Limited,12026.0
SHRIRAMFIN,Shriram Finance Limited,4306.0
SHYAMMETL,Shyam Metalics and Energy Limited,4709.0
SIEMENS,Siemens Limited,3150.0
SIGNATURE,Signatureglobal (India) Limited,18743.0
SOBHA,Sobha Limited,13826.0
SOLARINDS,Solar Industries India Limited,13332.0
SONACOMS,Sona BLW Precision Forgings Limited,4687.0
SONATSOFTW,Sonata Software Limited,6596.0
STARHEALTH,Star Health and Allied Insurance Company Limited,7089.0
SBIN,State Bank of India,3045.0
SAIL,Steel Authority of India Limited,2963.0
SWSOLAR,Sterling and Wilson Renewable Energy Limited,12575.0
STLTECH,Sterlite Technologies Limited,9309.0
SUMICHEM,Sumitomo Chemical India Limited,17105.0
SPARC,Sun Pharma Advanced Research Company Limited,14791.0
SUNPHARMA,Sun Pharmaceutical Industries Limited,3351.0
SUNTV,Sun TV Network Limited,13404.0
SUNDARMFIN,Sundaram Finance Limited,3339.0
SUNDRMFAST,Sundram Fasteners Limited,3345.0
SUNTECK,Sunteck Realty Limited,17641.0
SUPREMEIND,Supreme Industries Limited,3363.0
SUVENPHAR,Suven Pharmaceuticals Limited,17946.0
SUZLON,Suzlon Energy Limited,12018.0
SWANENERGY,Swan Energy Limited,27098.0
SYNGENE,Syngene International Limited,10245.0
SYRMA,Syrma SGS Technology Limited,10793.0
TV18BRDCST,TV18 Broadcast Limited,14208.0
TVSMOTOR,TVS Motor Company Limited,8479.0
TVSSCS,TVS Supply Chain Solutions Limited,18155.0
TMB,Tamilnad Mercantile Bank Limited,10945.0
TANLA,Tanla Platforms Limited,13978.0
TATACHEM,Tata Chemicals Limited,3405.0
TATACOMM,Tata Communications Limited,3721.0
TCS,Tata Consultancy Services Limited,11536.0
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,3432.0
TATAELXSI,Tata Elxsi Limited,3411.0
TATAINVEST,Tata Investment Corporation Limited,1621.0
TATAMOTORS,Tata Motors Limited,3456.0
TATAPOWER,Tata Power Company Limited,3426.0
TATASTEEL,Tata Steel Limited,3499.0
TATATECH,Tata Technologies Limited,20297.0
TTML,Tata Teleservices (Maharashtra) Limited,8954.0
TECHM,Tech Mahindra Limited,13538.0
TEJASNET,Tejas Networks Limited,21131.0
NIACL,The New India Assurance Company Limited,399.0
RAMCOCEM,The Ramco Cements Limited,2043.0
THERMAX,Thermax Limited,3475.0
TIMKEN,Timken India Limited,14198.0
TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,15414.0
TITAN,Titan Company Limited,3506.0
TORNTPHARM,Torrent Pharmaceuticals Limited,3518.0
TORNTPOWER,Torrent Power Limited,13789.0
TRENT,Trent Limited,1964.0
TRIDENT,Trident Limited,12182.0
TRIVENI,Triveni Engineering & Industries Limited,13085.0
TRITURBINE,Triveni Turbine Limited,25584.0
TIINDIA,Tube Investments of India Limited,312.0
UCOBANK,UCO Bank,11223.0
