invested_amount,quantity,entry_price,exit_price,index,entry_time,exit_time,pnl,percentage_move,rsi
99514.90000000001,86,1157.15,1168.7215,8465,2025-06-17 09:25:00+05:30,2025-06-17 09:35:00+05:30,995.1490000000013,1.0,41
99514.90000000001,86,1157.15,1174.50725,8470,2025-06-17 09:25:00+05:30,2025-06-17 10:00:00+05:30,1492.7235000000019,1.5,41
99579.40000000001,86,1157.9,1152.1105,8485,2025-06-17 11:10:00+05:30,2025-06-17 11:15:00+05:30,-497.89700000000767,0.5,41
99553.59999999999,86,1157.6,1151.812,8491,2025-06-17 11:25:00+05:30,2025-06-17 11:45:00+05:30,-497.76800000000094,0.5,41
99368.7,86,1155.45,1149.6727500000002,8495,2025-06-17 11:50:00+05:30,2025-06-17 12:05:00+05:30,-496.8434999999886,0.5,41
99041.90000000001,86,1151.65,1145.89175,8504,2025-06-17 12:20:00+05:30,2025-06-17 12:50:00+05:30,-495.20950000000767,0.5,41
99140.8,86,1152.8,1147.0359999999998,8504,2025-06-17 12:35:00+05:30,2025-06-17 12:50:00+05:30,-495.70400000001064,0.5,41
99579.40000000001,86,1157.9,1146.3210000000001,8504,2025-06-17 11:10:00+05:30,2025-06-17 12:50:00+05:30,-995.7939999999958,1.0,41
99553.59999999999,86,1157.6,1146.024,8504,2025-06-17 11:25:00+05:30,2025-06-17 12:50:00+05:30,-995.5360000000019,1.0,41
99368.7,86,1155.45,1143.8955,8504,2025-06-17 11:50:00+05:30,2025-06-17 12:50:00+05:30,-993.6869999999967,1.0,41
99024.7,86,1151.45,1145.6927500000002,8507,2025-06-17 12:55:00+05:30,2025-06-17 13:05:00+05:30,-495.12349999999014,0.5,41
99880.34999999999,87,1148.05,1153.79025,8512,2025-06-17 13:10:00+05:30,2025-06-17 13:30:00+05:30,499.4017500000052,0.5,41
99041.90000000001,86,1151.65,1145.4,8535,2025-06-17 12:20:00+05:30,2025-06-17 15:25:00+05:30,-537.5,1.0,41
99140.8,86,1152.8,1145.4,8535,2025-06-17 12:35:00+05:30,2025-06-17 15:25:00+05:30,-636.3999999999883,1.0,41
99024.7,86,1151.45,1145.4,8535,2025-06-17 12:55:00+05:30,2025-06-17 15:25:00+05:30,-520.2999999999961,1.0,41
99880.34999999999,87,1148.05,1145.4,8535,2025-06-17 13:10:00+05:30,2025-06-17 15:25:00+05:30,-230.54999999998813,1.0,41
