invested_amount,quantity,entry_price,exit_price,index,entry_time,exit_time,pnl,percentage_move,rsi
99973.0,1028,97.25,97.08,3060,2025-02-27 15:00:00+05:30,2025-02-27 15:25:00+05:30,-174.76000000000175,1,49
99971.12000000001,1051,95.12,94.1688,3086,2025-02-28 10:40:00+05:30,2025-02-28 11:20:00+05:30,-999.7112000000001,1,49
99959.84000000001,1058,94.48,93.5352,3104,2025-02-28 12:25:00+05:30,2025-02-28 12:50:00+05:30,-999.5984000000008,1,49
99962.8,1064,93.95,93.01050000000001,3133,2025-02-28 14:40:00+05:30,2025-02-28 15:15:00+05:30,-999.627999999995,1,49
99990.8,1066,93.8,92.862,3134,2025-02-28 14:10:00+05:30,2025-02-28 15:20:00+05:30,-999.9080000000025,1,49
99941.52,1064,93.93,92.99070000000002,3138,2025-03-03 09:15:00+05:30,2025-03-03 09:25:00+05:30,-999.415199999988,1,49
99979.0,1100,90.89,91.79889999999999,3180,2025-03-03 12:30:00+05:30,2025-03-03 12:55:00+05:30,999.7899999999873,1,49
99947.67,1097,91.11,90.1989,3208,2025-03-03 13:45:00+05:30,2025-03-03 15:15:00+05:30,-999.4767000000052,1,49
99911.36,1096,91.16,90.2484,3208,2025-03-03 14:00:00+05:30,2025-03-03 15:15:00+05:30,-999.1135999999922,1,49
99973.5,1095,91.3,90.38699999999999,3208,2025-03-03 14:10:00+05:30,2025-03-03 15:15:00+05:30,-999.735000000012,1,49
99947.67,1097,91.11,90.1989,3208,2025-03-03 14:45:00+05:30,2025-03-03 15:15:00+05:30,-999.4767000000052,1,49
99984.46,1102,90.73,91.6373,3216,2025-03-04 09:30:00+05:30,2025-03-04 09:40:00+05:30,999.8445999999915,1,49
99939.84,1092,91.52,92.43520000000001,3250,2025-03-04 12:25:00+05:30,2025-03-04 12:30:00+05:30,999.3984000000141,1,49
99972.59999999999,1092,91.55,92.46549999999999,3274,2025-03-04 14:15:00+05:30,2025-03-04 14:30:00+05:30,999.725999999994,1,49
99957.32999999999,1023,97.71,98.68709999999999,3351,2025-03-05 14:25:00+05:30,2025-03-05 14:40:00+05:30,999.5732999999929,1,49
99947.25,1005,99.45,98.45550000000001,3431,2025-03-06 11:05:00+05:30,2025-03-06 15:05:00+05:30,-999.4724999999879,1,49
99936.04000000001,1006,99.34,98.3466,3431,2025-03-06 11:40:00+05:30,2025-03-06 15:05:00+05:30,-999.3604000000083,1,49
99986.34,1006,99.39,98.3961,3431,2025-03-06 13:40:00+05:30,2025-03-06 15:05:00+05:30,-999.8633999999964,1,49
99944.75,1007,99.25,98.2575,3432,2025-03-06 12:25:00+05:30,2025-03-06 15:10:00+05:30,-999.4475000000068,1,49
99954.82,1007,99.26,98.2674,3432,2025-03-06 13:15:00+05:30,2025-03-06 15:10:00+05:30,-999.5482000000102,1,49
99999.1,1003,99.7,100.697,3437,2025-03-07 09:15:00+05:30,2025-03-07 09:20:00+05:30,999.9909999999999,1,49
99898.25,977,102.25,103.2725,3500,2025-03-07 12:30:00+05:30,2025-03-07 14:35:00+05:30,998.9824999999939,1,49
99902.70000000001,978,102.15,103.17150000000001,3500,2025-03-07 12:55:00+05:30,2025-03-07 14:35:00+05:30,999.0270000000031,1,49
99904.75,935,106.85,105.7815,3572,2025-03-10 12:50:00+05:30,2025-03-10 14:20:00+05:30,-999.0475000000002,1,49
99938.0,934,107.0,105.93,3572,2025-03-10 13:40:00+05:30,2025-03-10 14:20:00+05:30,-999.3799999999936,1,49
99949.14,927,107.82,107.21,3585,2025-03-10 15:00:00+05:30,2025-03-10 15:25:00+05:30,-565.4699999999995,1,49
99912.6,940,106.29,105.22710000000001,3659,2025-03-11 15:00:00+05:30,2025-03-11 15:20:00+05:30,-999.1259999999991,1,49
99927.36,942,106.08,105.7,3660,2025-03-11 10:50:00+05:30,2025-03-11 15:25:00+05:30,-357.9599999999957,1,49
99979.04,944,105.91,105.7,3660,2025-03-11 11:35:00+05:30,2025-03-11 15:25:00+05:30,-198.2399999999941,1,49
99922.4,944,105.85,105.7,3660,2025-03-11 11:55:00+05:30,2025-03-11 15:25:00+05:30,-141.59999999999195,1,49
99910.85,943,105.95,105.7,3660,2025-03-11 12:10:00+05:30,2025-03-11 15:25:00+05:30,-235.75,1,49
99988.48,944,105.92,105.7,3660,2025-03-11 12:40:00+05:30,2025-03-11 15:25:00+05:30,-207.67999999999893,1,49
99903.52,944,105.83,105.7,3660,2025-03-11 12:55:00+05:30,2025-03-11 15:25:00+05:30,-122.71999999999571,1,49
99895.95,945,105.71,105.7,3660,2025-03-11 13:45:00+05:30,2025-03-11 15:25:00+05:30,-9.449999999991405,1,49
99998.70999999999,931,107.41,106.3359,3666,2025-03-12 09:15:00+05:30,2025-03-12 09:40:00+05:30,-999.9871000000013,1,49
99984.0,960,104.15,104.5,3735,2025-03-12 13:20:00+05:30,2025-03-12 15:25:00+05:30,335.99999999999454,1,49
99910.8,957,104.4,104.5,3735,2025-03-12 13:45:00+05:30,2025-03-12 15:25:00+05:30,95.69999999999456,1,49
99984.0,960,104.15,104.5,3735,2025-03-12 14:00:00+05:30,2025-03-12 15:25:00+05:30,335.99999999999454,1,49
